property_id,date_added,postcode,rm_property_type,rm_property_subtype,property_type,price_pcm,sqft,price_pcm_per_sqft,bedrooms,bathrooms,annual_ground_rent,annual_service_charge,years_remaining_on_lease,furnish,let_type,display_address,url
88333530,2026-05-11,W5-2UX,flats_apartments,flat,F,799000,984,811.9918699186992,3,2,N/A,N/A,N/A,N/A,long,"Haven Green, Ealing",https://www.rightmove.co.uk/properties/88333530#/?channel=RES_BUY
87974088,2026-05-01,W5-2XA,flats_apartments,flat,F,2000000,1427,1401.541695865452,3,3,N/A,N/A,0,N/A,long,"Dickens Yard, Ealing, London, W5",https://www.rightmove.co.uk/properties/87974088#/?channel=RES_BUY
174270950,2026-04-10,W5-2ER,houses,house,N/A,1900000,N/A,N/A,8,3,N/A,N/A,N/A,N/A,long,"Eaton Rise, Ealing, W5",https://www.rightmove.co.uk/properties/174270950#/?channel=RES_BUY
87686472,2026-03-02,W5-2BF,flats_apartments,apartment,F,1750000,1660,1054.2168674698796,3,2,250,8000,925,N/A,long,"Longfield Avenue, Ealing, London",https://www.rightmove.co.uk/properties/87686472#/?channel=RES_BUY
167115167,2025-09-17,W5-2JU,flats_apartments,apartment,F,1699950,N/A,N/A,3,3,350,10769.9,234,N/A,long,"Longfield Avenue, Ealing, W5",https://www.rightmove.co.uk/properties/167115167#/?channel=RES_BUY
168159770,2025-10-13,W5-2JU,flats_apartments,apartment,F,1699950,1496,1136.3302139037432,3,3,250,8500,234,N/A,long,"Dashwood House, Ealing, Dickens Yard",https://www.rightmove.co.uk/properties/168159770#/?channel=RES_BUY
172443725,2026-02-20,W5-2BF,flats_apartments,penthouse,F,1600000,1650,969.6969696969697,3,2,N/A,11687.12,234,N/A,long,"The Penthouse, Belgravia House, Dickens Yard, W5",https://www.rightmove.co.uk/properties/172443725#/?channel=RES_BUY
87975792,2026-05-01,W5-2BF,flats_apartments,flat,F,1600000,1604,997.5062344139651,3,2,400,11810,0,N/A,long,"Dickens Yard, Ealing Broadway, London, W5",https://www.rightmove.co.uk/properties/87975792#/?channel=RES_BUY
88068672,2026-05-05,W5-5EF,flats_apartments,apartment,F,1550000,N/A,N/A,3,3,375,6891,992,N/A,long,"Filmworks Walk, London, W5",https://www.rightmove.co.uk/properties/88068672#/?channel=RES_BUY
171883406,2026-02-05,W5-3TA,flats_apartments,flat,F,1350000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"The Mall, Ealing",https://www.rightmove.co.uk/properties/171883406#/?channel=RES_BUY
168632339,2025-10-27,W5-5BT,flats_apartments,apartment,F,1300000,1223,1062.9599345870809,3,3,375,6614.72,992,N/A,long,"Filmworks Walk, Ealing, W5",https://www.rightmove.co.uk/properties/168632339#/?channel=RES_BUY
174203753,2026-04-08,W5-2BJ,flats_apartments,flat,F,1280000,N/A,N/A,3,2,0,0,0,N/A,long,"Skyline House, Dickens Yard, London, W5",https://www.rightmove.co.uk/properties/174203753#/?channel=RES_BUY
171988880,2026-02-08,W5-2AW,flats_apartments,apartment,F,1275000,1543,826.3123784834737,3,2,N/A,2863.78,998,N/A,long,"Carlton Road, London",https://www.rightmove.co.uk/properties/171988880#/?channel=RES_BUY
174136670,2026-04-07,W5-2JG,flats_apartments,apartment,F,1250000,1161,1076.6580534022394,3,2,350,8380.96,234,N/A,long,"Longfield Avenue, Ealing, W5",https://www.rightmove.co.uk/properties/174136670#/?channel=RES_BUY
173160803,2026-03-11,W5-2DD,houses,house,N/A,1250000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"Castlebar Road, Ealing, W5",https://www.rightmove.co.uk/properties/173160803#/?channel=RES_BUY
155379239,2024-11-26,W5-2UU,flats_apartments,apartment,F,1165000,1206,966.0033167495855,3,3,N/A,N/A,N/A,N/A,long,"Haven Green, Ealing",https://www.rightmove.co.uk/properties/155379239#/?channel=RES_BUY
87976206,2026-05-01,W5-2BF,flats_apartments,flat,F,1125000,1374,818.7772925764192,3,2,N/A,8804,233,N/A,long,"Belgravia House, Ealing Broadway, London, W5",https://www.rightmove.co.uk/properties/87976206#/?channel=RES_BUY
158408081,2025-02-18,W5-2DD,flats_apartments,flat,F,1100000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"Castlebar Road, Ealing",https://www.rightmove.co.uk/properties/158408081#/?channel=RES_BUY
171880382,2026-02-05,W5-2RA,flats_apartments,flat,F,1050000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"Helena Road, Ealing",https://www.rightmove.co.uk/properties/171880382#/?channel=RES_BUY
173868326,2026-03-30,W5-2EE,flats_apartments,flat,F,1025000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"Hamilton Road, Ealing",https://www.rightmove.co.uk/properties/173868326#/?channel=RES_BUY
88087143,2026-05-05,W5-2UY,flats_apartments,flat,F,1000000,N/A,N/A,4,1,N/A,N/A,N/A,N/A,long,"Haven Green Court, Haven Green, Ealing, W5",https://www.rightmove.co.uk/properties/88087143#/?channel=RES_BUY
171585971,2026-01-29,W5-2AL,flats_apartments,flat,F,999950,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"Gordon Road, Ealing",https://www.rightmove.co.uk/properties/171585971#/?channel=RES_BUY
171810209,2026-02-03,W5-2AL,flats_apartments,duplex,F,999950,1098,910.7012750455374,3,2,N/A,N/A,0,N/A,long,"Willow & Verde, 63-65 Gordon Road, London",https://www.rightmove.co.uk/properties/171810209#/?channel=RES_BUY
174141989,2026-04-07,W5-2AL,flats_apartments,apartment,F,995000,1127,882.8748890860692,4,2,N/A,3000,165,N/A,long,"Gordon Road, London, W5",https://www.rightmove.co.uk/properties/174141989#/?channel=RES_BUY
168803744,2025-10-30,W5-2AL,flats_apartments,apartment,F,975000,1032,944.7674418604652,3,2,N/A,700,998,N/A,long,"Gordon Road, Ealing, W5",https://www.rightmove.co.uk/properties/168803744#/?channel=RES_BUY
